                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.48735,                 0.5454,                0.57075,                0.98959,                 0.4397,                0.78571,                0.88038,                0.67391,                 0.4397,                0.78571,                0.88038,                0.81823,                 1.1107,                0.40028,                 4.7905,                 1.7107,               0.007723,               0.007723,               0.007723
                     25,                0.47765,                0.57618,                0.55362,                0.98247,                0.89385,                0.83029,                  0.974,                0.83981,                0.89385,                0.83029,                  0.974,                0.90299,                0.63131,                 0.4533,                 1.5238,                  1.061,               0.007624,               0.007624,               0.007624
                     26,                0.42118,                0.48601,                0.50995,                0.97312,                0.61418,                0.78571,                0.91917,                0.75051,                0.61418,                0.78571,                0.91917,                0.76029,                0.66812,                0.57455,                  1.901,                 1.1245,               0.007525,               0.007525,               0.007525
                     27,                0.45374,                0.61174,                0.50259,                0.98511,                0.59227,                0.96549,                  0.995,                0.85316,                0.59227,                0.96549,                  0.995,                0.72541,                0.78072,                 1.7701,                 1.3271,                 1.5534,               0.007426,               0.007426,               0.007426
                     28,                 0.4303,                0.60677,                0.56472,                0.99194,                0.71559,                0.78259,                0.94519,                0.80403,                0.71559,                0.78259,                0.94519,                0.81663,                0.66649,                 1.1073,                 1.5169,                 1.3728,               0.007327,               0.007327,               0.007327
                     29,                0.46806,                0.56045,                0.54515,                0.98455,                0.92727,                0.94927,                  0.995,                 0.8293,                0.92727,                0.94927,                  0.995,                0.87426,                0.63419,                0.95255,                0.60984,                 1.3611,               0.007228,               0.007228,               0.007228
                     30,                0.40806,                0.60306,                0.45745,                0.98162,                0.98111,                      1,                  0.995,                0.84888,                0.98111,                      1,                  0.995,                0.88066,                0.56038,                 1.3292,                0.47776,                 1.1809,               0.007129,               0.007129,               0.007129
                     31,                0.46755,                0.62235,                0.54751,                 1.0039,                0.79105,                0.83333,                0.95375,                 0.8234,                0.79105,                0.83333,                0.95375,                0.82135,                0.63898,                 1.3959,                 0.7784,                 1.2969,                0.00703,                0.00703,                0.00703
                     32,                0.43215,                0.48323,                0.48453,                0.97631,                 0.8553,                0.97094,                  0.995,                0.85817,                 0.8553,                0.97094,                  0.995,                0.85725,                 0.6152,                 1.2008,                0.68007,                  1.106,               0.006931,               0.006931,               0.006931
                     33,                0.45448,                 0.5014,                0.53974,                  1.005,                 0.9724,                      1,                  0.995,                0.87768,                 0.9724,                      1,                  0.995,                0.75665,                 0.6049,                 2.3286,                0.48671,                 1.1567,               0.006832,               0.006832,               0.006832
                     34,                 0.4251,                0.45697,                0.47374,                0.95658,                0.97697,                0.96851,                  0.995,                0.86567,                0.97697,                0.96851,                  0.995,                0.72464,                0.71118,                 2.8684,                0.77009,                 1.3073,               0.006733,               0.006733,               0.006733
                     35,                0.45596,                0.56937,                0.50131,                0.99063,                0.77013,                      1,                0.95375,                0.79595,                0.77013,                      1,                0.95375,                0.65458,                0.74023,                 2.5073,                0.76073,                 1.5147,               0.006634,               0.006634,               0.006634
                     36,                0.42386,                0.57178,                0.50851,                0.95605,                0.96533,                0.97101,                  0.995,                0.84977,                0.96533,                0.97101,                  0.995,                0.79174,                0.73949,                 1.4676,                0.70995,                 1.4571,               0.006535,               0.006535,               0.006535
                     37,                0.44595,                 0.5483,                0.51241,                 1.0091,                0.77812,                0.82263,                0.81817,                0.52054,                0.77812,                0.82263,                0.81817,                0.45929,                 1.2613,                 2.4136,                 1.3447,                 2.2963,               0.006436,               0.006436,               0.006436
                     38,                0.45971,                0.57027,                0.53282,                0.98684,                0.83231,                      1,                 0.9125,                 0.7456,                0.83231,                      1,                0.95375,                0.79807,                0.78394,                0.61264,                0.80256,                 1.5248,               0.006337,               0.006337,               0.006337
                     39,                0.45806,                0.46925,                0.45181,                0.97044,                0.97371,                      1,                  0.995,                0.88016,                0.97371,                      1,                  0.995,                0.93328,                0.58432,                0.38382,                0.48943,                 1.2241,               0.006238,               0.006238,               0.006238
                     40,                0.45985,                0.50148,                0.45097,                0.98165,                0.98469,                      1,                  0.995,                0.90166,                0.98469,                      1,                  0.995,                0.96758,                0.50927,                0.37946,                0.40427,                 1.0044,               0.006139,               0.006139,               0.006139
                     41,                0.43327,                0.43644,                0.45889,                0.99127,                0.98653,                      1,                  0.995,                0.88651,                0.98653,                      1,                  0.995,                0.93642,                0.51013,                0.45363,                0.46771,                 1.0178,                0.00604,                0.00604,                0.00604
                     42,                0.43997,                0.47749,                0.46925,                0.98772,                0.98861,                      1,                  0.995,                0.92167,                0.98861,                      1,                  0.995,                0.92365,                0.45428,                0.40567,                0.41602,                0.96105,               0.005941,               0.005941,               0.005941
                     43,                0.42377,                0.46165,                0.44222,                0.99021,                0.97253,                      1,                  0.995,                0.90322,                0.97253,                      1,                  0.995,                0.93021,                0.61125,                 0.4306,                0.42872,                 1.0633,               0.005842,               0.005842,               0.005842
                     44,                 0.4371,                0.54875,                0.46453,                 0.9711,                0.97342,                      1,                  0.995,                0.85753,                0.97342,                      1,                  0.995,                  0.894,                0.59908,                0.49841,                0.44726,                 1.0593,               0.005743,               0.005743,               0.005743
