                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.49738,                0.95375,                0.65184,                   1.04,                0.97236,                      1,                  0.995,                0.88381,                0.97236,                      1,                  0.995,                0.89436,                0.50692,                0.43205,                0.62207,                0.94091,               0.007723,               0.007723,               0.007723
                     25,                0.47982,                0.91406,                0.62189,                 1.0145,                0.97299,                      1,                  0.995,                0.88374,                0.97299,                      1,                  0.995,                0.91408,                0.43371,                0.44265,                0.55703,                0.97465,               0.007624,               0.007624,               0.007624
                     26,                0.44986,                0.82736,                0.58791,                 1.0053,                0.97627,                      1,                  0.995,                0.87522,                0.97627,                      1,                  0.995,                0.76504,                0.55593,                0.84978,                0.65228,                  1.051,               0.007525,               0.007525,               0.007525
                     27,                0.48427,                  0.939,                0.58512,                 1.0146,                0.89957,                0.66667,                 0.8575,                 0.6625,                0.89957,                0.66667,                 0.8575,                0.65039,                0.87932,                 2.5486,                 1.6481,                 1.9463,               0.007426,               0.007426,               0.007426
                     28,                0.45397,                0.70906,                0.61762,                 1.0165,                0.96349,                      1,                  0.995,                0.89401,                0.96349,                      1,                  0.995,                 0.9117,                0.52191,                0.60232,                0.46687,                 1.1603,               0.007327,               0.007327,               0.007327
                     29,                0.49429,                0.71556,                0.60607,                 1.0099,                0.98257,                      1,                  0.995,                 0.9676,                0.98257,                      1,                  0.995,                0.93336,                0.39547,                0.61485,                0.37456,                0.99668,               0.007228,               0.007228,               0.007228
                     30,                0.42871,                0.72788,                0.51084,                0.97971,                0.97728,                      1,                  0.995,                0.93168,                0.97728,                      1,                  0.995,                  0.918,                0.46065,                0.57998,                0.45544,                 1.0906,               0.007129,               0.007129,               0.007129
                     31,                0.47271,                  0.876,                0.58203,                 1.0139,                0.93049,                      1,                  0.995,                0.87657,                0.93049,                      1,                  0.995,                0.82367,                0.51989,                0.84599,                0.54967,                 1.1281,                0.00703,                0.00703,                0.00703
                     32,                0.42767,                0.65786,                0.54578,                0.95049,                 0.9724,                      1,                  0.995,                0.81812,                 0.9724,                      1,                  0.995,                0.69942,                0.62621,                 1.0864,                0.70523,                 1.1876,               0.006931,               0.006931,               0.006931
                     33,                0.46609,                0.83585,                0.55771,                 1.0091,                0.96619,                      1,                  0.995,                0.84015,                0.96619,                      1,                  0.995,                0.83481,                0.66999,                0.64879,                0.61125,                 1.2217,               0.006832,               0.006832,               0.006832
                     34,                0.50793,                0.74875,                0.59735,                 1.0345,                0.99114,                0.99336,                  0.995,                0.88185,                0.99114,                0.99336,                  0.995,                0.86979,                0.37836,                0.62337,                0.48518,                0.84869,               0.006733,               0.006733,               0.006733
                     35,                0.48675,                0.93139,                0.53581,                 1.0375,                0.96607,                      1,                  0.995,                  0.945,                0.96607,                      1,                  0.995,                 0.9164,                0.36559,                0.44308,                0.51019,                0.87409,               0.006634,               0.006634,               0.006634
                     36,                0.45554,                0.77918,                0.50633,                0.96047,                0.89934,                      1,                 0.9775,                0.92428,                0.89934,                      1,                 0.9775,                  0.906,                0.36235,                0.51494,                0.46497,                0.83767,               0.006535,               0.006535,               0.006535
                     37,                0.45678,                0.58277,                0.51239,                0.99511,                0.94394,                      1,                  0.995,                0.91376,                0.94394,                      1,                  0.995,                0.91899,                0.44579,                0.47886,                0.48485,                0.96171,               0.006436,               0.006436,               0.006436
                     38,                0.51903,                0.82655,                0.60879,                 1.0348,                0.96659,                      1,                  0.995,                0.92317,                0.96659,                      1,                  0.995,                0.95152,                0.38206,                0.35441,                0.38159,                0.83671,               0.006337,               0.006337,               0.006337
                     39,                0.44964,                0.66882,                0.47612,                 1.0294,                0.98669,                      1,                  0.995,                0.88515,                0.98669,                      1,                  0.995,                0.94438,                0.46846,                 0.3809,                0.40196,                 1.0271,               0.006238,               0.006238,               0.006238
                     40,                0.48122,                0.69963,                0.53867,                 1.0215,                0.97107,                      1,                  0.995,                0.91808,                0.97107,                      1,                  0.995,                0.90121,                 0.3648,                0.47602,                0.38228,                0.76779,               0.006139,               0.006139,               0.006139
                     41,                0.47206,                0.61274,                0.48757,                0.98876,                0.92959,                      1,                  0.995,                0.95698,                0.92959,                      1,                  0.995,                0.96226,                0.34476,                0.34949,                0.39721,                0.74634,                0.00604,                0.00604,                0.00604
                     42,                0.43866,                0.57109,                0.51661,                0.98481,                0.96654,                      1,                  0.995,                0.96674,                0.96654,                      1,                  0.995,                0.96217,                0.33465,                0.33211,                0.42801,                0.71868,               0.005941,               0.005941,               0.005941
                     43,                0.41266,                0.81591,                0.55771,                0.97561,                0.97825,                      1,                  0.995,                0.93763,                0.97825,                      1,                  0.995,                0.97325,                0.41143,                0.34741,                0.45073,                0.84844,               0.005842,               0.005842,               0.005842
                     44,                0.41768,                0.58921,                0.49213,                0.95006,                0.98622,                      1,                  0.995,                0.94187,                0.98622,                      1,                  0.995,                 0.9787,                0.38989,                0.33684,                0.36397,                0.79959,               0.005743,               0.005743,               0.005743
                     45,                0.50355,                0.86411,                0.56966,                  1.029,                0.98764,                      1,                  0.995,                0.87514,                0.98764,                      1,                  0.995,                0.89921,                0.42554,                0.34101,                0.53476,                 0.9151,               0.005644,               0.005644,               0.005644
                     46,                 0.4351,                 0.7192,                0.48797,                0.95743,                0.98082,                      1,                  0.995,                0.84917,                0.98082,                      1,                  0.995,                0.87321,                0.49469,                0.33525,                0.76039,                0.99303,               0.005545,               0.005545,               0.005545
                     47,                0.43753,                0.90289,                0.56499,                0.99984,                0.98356,                      1,                  0.995,                0.91586,                0.98356,                      1,                  0.995,                0.93632,                0.43752,                0.32562,                0.76837,                0.85131,               0.005446,               0.005446,               0.005446
                     48,                0.41186,                0.57177,                 0.4693,                0.96059,                0.98835,                      1,                  0.995,                0.90826,                0.98835,                      1,                  0.995,                0.93219,                0.43446,                0.30293,                 1.0046,                0.87575,               0.005347,               0.005347,               0.005347
                     49,                0.43917,                0.56544,                 0.4889,                0.98368,                0.98032,                      1,                  0.995,                0.85072,                0.98032,                      1,                  0.995,                 0.8593,                0.44227,                0.38929,                0.66726,                 0.8735,               0.005248,               0.005248,               0.005248
